case_id,case_type,operation_user,create_time,log_type
14136,1,5006,2021/3/8 17:09,batch_add
14137,1,5006,2021/3/8 17:09,batch_add
14138,1,5006,2021/3/8 17:09,batch_add
14139,1,5006,2021/3/8 17:09,batch_add
14140,1,1463,2021/3/11 14:22,batch_add
14141,1,1463,2021/3/11 14:22,batch_add
14142,1,1463,2021/3/11 14:22,batch_add
14143,1,1463,2021/3/11 14:22,batch_add
14144,1,1463,2021/3/11 14:22,batch_add
14145,1,1463,2021/3/11 14:22,batch_add
14146,1,1463,2021/3/11 14:22,batch_add
14147,1,1463,2021/3/11 14:22,batch_add
14148,1,1463,2021/3/11 14:22,batch_add
14149,1,1463,2021/3/11 14:22,batch_add
14150,1,1463,2021/3/11 14:22,batch_add
14151,1,1463,2021/3/11 14:22,batch_add
14152,1,1463,2021/3/11 14:22,batch_add
14153,1,1463,2021/3/11 14:22,batch_add
14154,1,1463,2021/3/11 14:22,batch_add
14155,1,1463,2021/3/11 14:22,batch_add
14156,1,1463,2021/3/11 14:22,batch_add
14157,1,1463,2021/3/11 14:22,batch_add
14158,1,1463,2021/3/11 14:22,batch_add
14159,1,1463,2021/3/11 14:22,batch_add
14160,1,1463,2021/3/11 14:22,batch_add
14161,1,1463,2021/3/11 14:22,batch_add
14162,1,1463,2021/3/11 14:22,batch_add
14163,1,1463,2021/3/11 14:22,batch_add
14164,1,1463,2021/3/11 14:22,batch_add
14165,1,1463,2021/3/11 14:22,batch_add
14166,1,1463,2021/3/11 14:22,batch_add
14167,1,1463,2021/3/11 14:22,batch_add
14168,1,1463,2021/3/11 14:22,batch_add
14169,1,1463,2021/3/11 14:22,batch_add
14170,1,1463,2021/3/11 14:22,batch_add
14171,1,1463,2021/3/11 14:22,batch_add
14172,1,1463,2021/3/11 14:22,batch_add
14173,1,1463,2021/3/11 14:22,batch_add
14174,1,1463,2021/3/11 14:22,batch_add
14175,1,1463,2021/3/11 14:22,batch_add
14176,1,1463,2021/3/11 14:22,batch_add
14177,1,1463,2021/3/11 14:22,batch_add
14178,1,1463,2021/3/11 14:22,batch_add
14179,1,1463,2021/3/11 14:22,batch_add
14180,1,1463,2021/3/11 14:22,batch_add
14181,1,1463,2021/3/11 14:22,batch_add
14182,1,1463,2021/3/11 14:22,batch_add
14183,1,1463,2021/3/11 14:22,batch_add
14184,1,1463,2021/3/11 14:22,batch_add
14185,1,1463,2021/3/11 14:22,batch_add
14186,1,1463,2021/3/11 14:22,batch_add
14187,1,1463,2021/3/11 14:22,batch_add
14188,1,1463,2021/3/11 14:22,batch_add
14189,1,1463,2021/3/11 14:22,batch_add
